Qty,Value,RefDes,,Qty,Value,RefDes
2,0.1uF,"C1,C2",,1,Conn_02x03_Odd_Even,J2
2,2.2K,"R1,R2",,1,Conn_02x04_Odd_Even,J1
1,ASE-xxxMHz,U2,,,,
1,Si5351A,U1,,,,
