Qty,Value,RefDes
2,0.1uF,"C1,C2"
4,CONN_01X05,H1-H4
5,I2CINT-5PIN,"J1,J2,J3,J4,J5"
15,3.3K,R1-R15
1,CONN_1,ST1
1,PCA9544A,U1
