Qty,Value,RefDes,,Qty,Value,RefDes
19,LED-fixed,D1-D19,,1,"Conn, Rt Angle, 2x25",J1
19,560,R1-R19,,7,SW_Push,SW10-SW16
21,10K,R20-R41,,14,SW_SPDT,"SW1-SW9,SW17-SW21"
