Find,Qty,Ref Des,Part Number
1,4,H1-H4,Conn_01x03
2,1,J5,"HEADER, 2X10"
3,1,J6,"[https://store.synthrotek.com/16-Pin_Keyed_Shrouded_Eurorack_Power_Header HEADER, 2X8]"
4,1,J10,Conn_01x08
5,4,R5-R8,1K
10,2,"R6, R7",1K
6,2,"U1, U2","SOCKET, 8 PIN"
7,2,"U1, U2",[http://www.ti.com/lit/ds/symlink/tl071.pdf TL072]
