Qty,Value,RefDes,Footprint
4,0.1uF,",C3,C4,C5,C6",SM0805
1,FUSE,F2,SM1206
2,TXS0108,"U1,U2",SOG20
6,CONN_3,"J3,J4,J5,J6,J7,J8,J9",PIN_ARRAY_3X1
2,CONN_4,"J1,J2",PIN_ARRAY_4x1
2,CONN_6,"J10,J11",PIN_ARRAY-6X1
1,RASPIO,P1,pin_array_13x2
,If No DC Power,,
1,CONN_3,Jumper J13 from 2-3,
,If DC Power,,
1,0.1uF,C2,SM0805
1,1uF,C1,SM1206
1,FUSE,F1,SM1206
1,AP1117,U3,SOT223
1,JACK-3.5MM,J12,JACK_2.1MM
1,CONN_3,J13,PIN_ARRAY_3X1
