4N25,,
CTR,0.2,
Vf,1.2,
,,
MCP23008,,
VCC,3.3,5
Iol,0.01,0.01
RES THEOR,330,500
RES USED,330,330
I ACTUAL,0.006363636363636,0.011515151515152
IOUT(OPTO),0.001272727272727,0.00230303030303
I HALF,0.000636363636364,0.001151515151515
R OUT,5185.71428571429,4342.1052631579
