Qty,Value,RefDes,,Qty,Value,RefDes
3,100pF,"C1,C9,C11",,2,BNC (opt),"J1,J2"
1,200,C5,,2,SMA (opt),"P1,P2"
3,270,"C3,C7,C10",,2,"Transformer, Toroid","T1,T2"
2,330,"C2,C8",,6,"Crystal, 9 MHz",Y1-Y6
2,680,"C4,C6",,,,
