Qty,Value,RefDes,,Qty,Value,RefDes
2,10pF,"C1,C11",,2,"BNC, Rt angle","J1,J2"
2,120pF,"C2,C10",,2,"SMA, Edge launch","P1,P2"
2,82pF,"C3,C9",,2,Transformer,"T1,T2"
3,100pF,"C4,C6,C8",,6,9 MHz crystal,Y1-Y6
2,470pF,"C5,C7",,,,
