Pin,SIG_NAME,CPU_Pin,uPy_Pin,X,Pin,SIG_NAME,CPU_Pin,uPy_Pin
1,VIN (5V),,n/a,,32,VIN (5V),n/a,
2,3.3V,,n/a,,31,VIN (5V),n/a,
3,GND,,n/a,,30,3.3V,n/a,
4,NRST,7,n/a,,29,3.3V,n/a,
5,IO_PB11,30,Y10,,28,3.3V,n/a,
6,IO_PB10,29,Y9,,27,GND,n/a,
7,IO_PB1,27,Y12,,26,GND,n/a,
8,IO_PB0,26,Y11,,25,GND,n/a,
9,IO_PA7,23,X8,,24,GND,n/a,
10,IO_PA6,22,X7,,23,GND,n/a,
11,IO_PA5,21,X6,,22,GND,n/a,
12,IO_PA4,20,X5,,21,GND,n/a,
13,IO_PA3,17,X4,,20,IO_PC3,11,X22
14,IO_PA2,16,X3,,19,IO_PC2,10,X21
15,IO_PA1,15,X2,,18,IO_PC1,9,X17
16,IO_PA0,14,X1,,17,IO_PC0,8,X19
