Qty,Value,RefDes,,Qty,Value,RefDes
4,0.1uF (0805),"C1,C2,C4,C5",,1,"Header, 1x2",J33
1,1uF (0805),C3,,26,"Header, 1x3","J1-J10,J14,J15,J17-J23,J25-J32"
2,LED (0805),"D1,D2",,4,"Header, 1x4","J11-J13,J16"
2,FUSE (1206),"F1,F2",,1,BEAGLEBONE,BRD1
1,120 (0805),R4,,,,
1,330 (0805),R3,,,,
3,5.6K (0805),"R1,R2,R8",,,,
1,CAT24C256,U3,,,,
2,TXS0108EPWR,"U2,U4",,,,
