Qty,Value,RefDes,,Qty,Value,RefDes
1,0.1uF (0805),C4,,1,"Header, 1x6",J2
1,100pF (0805),C3,,1,DC Jack,J3
2,470pF (0805),"C1,C2",,1,SMA (opt),P1
2,2N3904,"Q1,Q2",,1,BNC (opt),J1
2,10K (0805),"R1,R2",,,,
3,1K (0805),R3-R5,,1,UUT,Y1
1,47 (0805),R6,,,,
