Item,Qty,Reference(s),Value,,Item,Qty,Reference(s),Value
1,1,C1,47uF,,6,1,J1,DB25F
2,1,C2,0.1uf,,7,1,J2,"Header, Rt Angl, 2X2"
3,5,"R1, R4-R7",10K (1/4W),,8,1,J3,"Header, Rt Angl, 2X4"
4,2,"R2, R3",2.2K (1/4W),,9,1,J4,"Header, Rt Angl, 2x3"
5,1,U1,MCP23017P,,,,,
