Module,PinNum,HoleType,HoleSize,PadSizeX,PadSizeY,AnnularRing,Notes
DB25F-RT-FIXED,9,circle,40.0,60.0,60.0,10.0
DB25F-RT-FIXED,10,circle,40.0,60.0,60.0,10.0
DB25F-RT-FIXED,11,circle,40.0,60.0,60.0,10.0
DB25F-RT-FIXED,12,circle,40.0,60.0,60.0,10.0
DB25F-RT-FIXED,13,circle,40.0,60.0,60.0,10.0
DB25F-RT-FIXED,14,circle,40.0,60.0,60.0,10.0
DB25F-RT-FIXED,15,circle,40.0,60.0,60.0,10.0
DB25F-RT-FIXED,16,circle,40.0,60.0,60.0,10.0
DB25F-RT-FIXED,17,circle,40.0,60.0,60.0,10.0
DB25F-RT-FIXED,18,circle,40.0,60.0,60.0,10.0
DB25F-RT-FIXED,19,circle,40.0,60.0,60.0,10.0
DB25F-RT-FIXED,20,circle,40.0,60.0,60.0,10.0
DB25F-RT-FIXED,21,circle,40.0,60.0,60.0,10.0
DB25F-RT-FIXED,22,circle,40.0,60.0,60.0,10.0
DB25F-RT-FIXED,23,circle,40.0,60.0,60.0,10.0
DB25F-RT-FIXED,24,circle,40.0,60.0,60.0,10.0
DB25F-RT-FIXED,25,circle,40.0,60.0,60.0,10.0
MTG-6-32,1,circle,167.0,320.0,320.0,76.5
DO-41,2,rect,43.2,60.0,60.0,8.4
DO-41,1,circle,43.2,60.0,60.0,8.4
MTA-156-2PIN,1,circle,80.0,120.0,120.0,20.0
MTA-156-2PIN,2,circle,80.0,120.0,120.0,20.0
MTA-156-6PIN-ALT,1,circle,80.0,120.0,120.0,20.0
MTA-156-6PIN-ALT,3,circle,80.0,120.0,120.0,20.0
MTA-156-6PIN-ALT,5,circle,80.0,120.0,120.0,20.0
UWDD,99,circle,167.0,200.0,200.0,16.5
UWDD,99,circle,167.0,200.0,200.0,16.5,Duplicated pin number. 
UWDD,99,circle,167.0,200.0,200.0,16.5,Duplicated pin number. 
UWDD,99,circle,167.0,200.0,200.0,16.5,Duplicated pin number. 
UWDD,1,circle,53.5,90.0,90.0,18.25,Hole size changed. Pad X size changed. Pad Y size changed. 
UWDD,2,circle,53.5,90.0,90.0,18.25
UWDD,4,circle,53.5,90.0,90.0,18.25
UWDD,3,circle,53.5,90.0,90.0,18.25
UWDD,5,circle,87.5,140.0,140.0,26.25,Hole size changed. Pad X size changed. Pad Y size changed. 
UWDD,6,circle,87.5,140.0,140.0,26.25
UWDD,7,circle,87.5,140.0,140.0,26.25
