Find,Qty,Ref Des,Part Number
1,8,D1-D8,"LED, 5mm"
2,8,PB1-PB8,[https://www.mouser.com/c/electromechanical/switches/tactile-switches/?color=Black&mounting%20style=Through%20Hole&stem%20height=6%20mm&instock=y&sort=pricing 6x6mm Pushbutton]
3,16,R1-R16,10K (1/4W)
4,8,R17-R24,560 (1/4W)
5,8,SS1-SS8,[https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2334524.m570.l1313&_nkw=slide+switch+ss12d00g3&_sacat=0&LH_TitleDesc=0&LH_FS=1&_odkw=slide+switch+ss12d00g4&_osacat=0&_sop=15 SS12D00G3]
6,1,J1,"Header, Right Angle, 2x16"
