Qty,Value,RefDes
1,0.1uF,C2
1,10uF,C1
2,Conn_01x06,"J1,J2"
1,Conn_02x05_Odd_Even,J3
4,CONN_1,"MTG1,MTG2,MTG3,MTG4"
4,10K,"R5,R6,R7,R8"
4,DNP,"R1,R2,R3,R4"
1,TXS0104,U1
