Find,Qty,Ref Des,Part Number
1,8,D0-D7,LED-fixed
2,8,R1-R8,10K
3,8,R9-R16,1K
4,8,SW0-SW7,[https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2334524.m570.l1313&_nkw=slide+switch+ss12d00g3&_sacat=0&LH_TitleDesc=0&LH_FS=1&_odkw=slide+switch+ss12d00g4&_osacat=0&_sop=15 SS12D00G3]
5,1,P1,"Header, 2X10"
