Qty,Value,RefDes
1,TCN75AVUA,U1
1,0.1uF,C1
3,10K,"R4,R5,R6"
2,2.2K,"R1,R2"
1,3.3K,R3
5,CONN_2,"H1,H2,H3,H4,H5"
2,CONN_01X05,"P1,P2"
