Find,Qty,Ref Des,Part Number,,Find,Qty,Ref Des,Part Number
1,3,"R1, R8, R9",10K,,8,1,C1,1uF
2,6,"R2, R4, R7, R20-R22",100K,,9,5,"C2-C4, C11, C12",1nF
3,3,"R3, R6, R11",1K,,10,2,"C5, C6",0.1uF
4,1,R5,47K,,11,14,D1-D14,1N4148
5,3,"R10, R12, R19",2.2K,,12,1,J1,"HEADER, 2X5"
6,7,"R13-R18, R23",33K,,13,1,J2,"HEADER, 2X10"
7,2,"R24, R25",10,,14,1,J3,"HEADER, 1x8"
,,,,,15,2,"U1, U2",[http://www.ti.com/lit/ds/symlink/tl071.pdf TL074]
