Qty,Value,RefDes,,Qty,Value,RefDes
5,0.1uF,"C1,C2,C4,C5,C6",,1,Conn_01x03,H1
1,10uF,C3,,1,Conn_02x04_Odd_Even,H2
1,10uF,C7,,1,Conn_01x02,J15
1,Polyfuse_Small,F1,,1,DCJ0202,J1
1,150,R12,,2,FTDI,"J2,J6"
4,261,"R2,R4,R6,R11",,2,PS2_DIN6,"J3,J4"
3,523,"R1,R3,R5",,1,RCA-JACK,J5
1,AP1117,U2,,1,Conn_01x08,P4
1,TXS0104,U3,,1,Conn_02x08_Odd_Even,P2
1,ESP32,U1,,1,VGA,P3
2,ESP32 Headers (1x15),,,,,
