Qty,Value,RefDes,,Qty,Value,RefDes
1,0.1uF,C1,,4,"Header, RT Angle, 2x6","H1/H2,H3/H4,H5/H6,H7/H8"
1,0.1uF,C2,,1,"Header, Strt, 2X3",H9
19,2.2K,R1-R19,,1,"Header, Rt Angle, 1X4",J1
1,PCA9548A,U1,,3,Do Not Populatr,R20-R22
