Find,Qty,Ref Des,Part Number,,Find,Qty,Ref Des,Part Number
1,1,U2,"SOCKET, IC, 8 PIN",,9,2,U2,"SOCKET, 1X7"
2,1,R2,5.6K,,10,1,J1,"HEADER, STRT, 2x8 (REAR SIDE)"
3,1,R3,2.7K,,11,1,J2,"HEADER, STRT, 1x3 (REAR SIDE)"
4,2,"R4, R5",220,,12,1,J5,"[https://store.synthrotek.com/16-Pin_Keyed_Shrouded_Eurorack_Power_Header HEADER, 2X8]"
5,1,R6,DNP,,13,1,U1,MCP6232
6,3,"D1, D2, D3",BAT41,,14,1,U2,XIAO_RP2040
7,2,"C2, C3",10nF,,,,,
8,2,"C9, C11",47uF,,,,,
