Find,Qty,Ref Des,Part Number,,Find,Qty,Ref Des,Part Number
1,6,"R1-R5, R7",100K,,8,1,U1,"SOCKET, 8 PIN"
2,1,R8,22K,,9,1,J8,"[https://store.synthrotek.com/10-Pin_Keyed_Shrouded_Eurorack_Power_Header Conn, IDC, 2x5]"
3,1,R9,4.7K,,10,6,J1-J6,PJ-301BM
4,1,R10,1K,,11,1,RV1,10K
5,2,"C1, C2",0.1uF,,12,5,RV2-RV6,"10K(A for audio, B for CV mixing)"
6,2,"C3, C4",10uF,,13,1,U1,[https://store.synthrotek.com/TL072P-Op-Amp_p_418.html TL072]
7,1,C5,470pF,,,,,
