CP1,1,"C1",
LED2C_CA,1,"DS1",
INDUCTOR,1,"L1",
CONN_2,3,"P1 P2 P3",
470,2,"R1 R2",
2.2K,1,"R3",
NTC,1,"R4",
SPST,1,"SW?",
MCP73822,1,"U1",
MAX1724,1,"U2",
