Qty,Value,RefDes,,Qty,Value,RefDes
1,0.1uF,C2,,2,Conn_01x06,"J1,J2"
1,10uF,C1,,1,"Conn, 2x5",J3
4,10K,"R5,R6,R7,R8",,,,
4,0,"R1,R2,R3,R4",,,,
1,TXS0104,U1,,,,
