Item,Qty,Reference(s),Value,,Item,Qty,Reference(s),Value
1,1,R1,10K (1/4W),,4,1,J1,"Header, Right Angles, 2x6"
2,1,C1,0.1uF. 0.1in,,5,1,J2 (opt),"Header, Strt, 2X3"
3,1,U1,MCP42X1-XXXE/P,,6,2,"POT1, POT2","Header, Right Ang, 1X5"
