Qty,Value,RefDes,,Qty,Value,RefDes
3,0.1uF,C1-C3,,1,CONN_01X02,J5
1,47uF,C4,,1,CONN_01X04,J4
1,FUSE,F1,,1,CONN_01X05,J1
5,10K,R1,,1,CONN_02X02,J3
1,1K,R4,,1,CONN_02X02,J6
2,2.2K,R5,,1,CONN_02X04,J2
1,24C01,U3,,1,DB37,P1
3,MCP23017P,U1,,,,
