Qty,Value,RefDes
2,0.1uF,",C4"
2,22pF,"C1,C2"
4,CONN_1,"MTG1,MTG2,MTG3,MTG4"
1,CONN_01X04,P2
1,CONN_02X03,P4
1,CONN_02X08,P1
1,USB-Slave,P3
3,10K,"R3,R4,R7"
2,NONE,"R5,R6"
2,OPEN,"R1,R2"
1,COUPON,TEST1
1,ATMEGA328-PU,U1
1,11.0592MHz,Y1
