Qty,Value,RefDes,,Qty,Value,RefDes
1,0.1uF,C5,,1,LED2C_CA,DS1
1,10uF,C4,,1,MBR0520LT1G,D1
2,4.7uF,"C1,C3",,1,FUSE,F1
1,680pF,C2,,1,10uH,L1
1,1K,R6,,1,CONN_2X2,H2
1,1M,R5,,1,CONN_3,H1
1,2.2K,R3,,1,CONN_2,P1
2,270,"R8, R9",,1,CONN_2,P3
1,3.09K,R7,,1,CONN_6,P2
2,470,"R1,R2",,1,JST_2,J1
1,NTC-10K,R4,,1,USB-B,J2
1,FT230XS,U3,,1,SW-SPDT,SW1
1,LMR62014,U2,,,,
1,MCP73833,U1,,,,
