Qty,Value,RefDes,,Qty,Value,RefDes
6,0.1uF (0805),"C1-C3,C5,C6,C10",,1,"CONN, 1X03",H3
2,10uF (1206),"C8,C9",,1,"CONN, 1X04",H2
2,1uF (0805),"C4,C7",,1,"CONN, 2X10",H5
1,LED (0805),D1,,1,"Conn, 2x8",H4
1,FUSE (1206),F1,,1,"CONN, 2X10",H1
2,22 (0805),"R7,R8",,1,USB_B_Micro,J1
1,3.9K (0805),R4,,,,
1,560 (0805),R3,,4,DNI,"R1,R2,R5,R6"
1,CY8C5267AXI-LP051,U1,,,,
1,AP1117,VR1,,,,
