Qty,Value,RefDes
4,0.1uF,"C1,C2,C3,C4"
1,10uF,C5
1,FTDI,H1
1,"HDR, 2x4",H2
1,DB9_Female_MountingHoles,J1
1,SP3232EEN-L,U1
