Qty,Value,RefDes,,Qty,Value,RefDes
2,10K,"R7,R8",,1,"LED, 6mm",DS1
4,680,"R10,R12,R14,R16",,1,CONN_01X04,J3
6,2.2K,"R1,R2,R3,R4,R5,R6",,1,CONN_02X04,J5
2,220,"R9,R17",,2,CONN_02X06,"J6,J8"
3,470,"R11,R13,R15",,1,Conn_01x06,J7
1,AS6C1008-55PCN,U1,,1,RCA-JACK,J2
,,,,1,SD_Card,J4
,,,,1,VGA,J1
,,,,4,CONN_02X14,"P1,P2,P3,P4"
