Qty,Value,RefDes,,Qty,Value,RefDes
2,10K,"R7,R8",,1,"LED, 5 mm",DS1
1,1K,R10,,1,"CONN, Strt, 1X4 (opt)",J3
6,2.7K,R1-R6,,1,"CONN, Rt ang, 2X4",J5
1,220,R17,,2,"CONN, Strt, 2X6","J6,J8"
4,470,"R9,R11,R13,R15",,1,Conn_01x06,J7
3,680,"R12,R14,R16",,1,RCA-JACK,J2
1,AS6C1008-55PCN,U1,,1,"Socket, SD",J4
,,,,1,DV-15HD (VGA),J1
,,,,4,"CONN, Female, 2X14","P1,P2,P3,P4"
