Qty,Value,RefDes,,Qty,Value,RefDes
2,0.1uF,"C1,C3",,1,CONN_01X02,P11
1,10uF,C2,,6,CONN_01X16,"P10,P5,P6,P7,P8,P9"
1,DCJ0202,J1,,4,CONN_02X22,"P1,P2,P3,P4"
1,AP1117,U1,,,,
