Item,Qty,Reference(s),Value,,Item,Qty,Reference(s),Value
1,2,"R1, R2",3.3K (0805),,7,1,H1,"Header, Straight, 2x2"
2,8,"R3-R6, R12-R15",10K (0805),,8,1,H2,"Header, Straight, 2X3"
3,5,R7-R11,1K (0805),,9,1,H3,"Header, Straight, 2X4"
4,1,C1,0.1uF (0805),,10,1,J1,"Header, Right Angle, 2x5"
5,1,U1,MCP23008P,,,,,
6,5,"D0-D3, D9","LED, 3mm",,,,,
