Qty,Value,RefDes
4,0.1uF,"C1,C2,C3,C4"
1,10uF,C5
1,Conn_02x04_Odd_Even,H2
1,FTDI,H1
1,DB9_Male_MountingHoles,J1
1,ICL3232,U1
