Qty,Value,RefDes,Footprint
3,LED,",D2,D3",SM0805
1,CONN_4,P2,PIN_ARRAY_4X1
1,CONN_5,P1,PIN_ARRAY_5X1
3,0,"R15,R16,R17",SM0805
8,10K,"R1,R5,R6,R10-R14",SM0805
3,330,"R7,R8,R9",SM0805
3,OPEN,"R2,R3,R4",SM0805
5,SW_PUSH_OMRON,SW1-SW5,SW-PB-6MM
1,MCP23008SO,U1,SO18W
