Qty,Value,RefDes,,Qty,Value,RefDes
8,LED-fixed,D1-D8,,1,Conn_01x10,J4
16,10K,R1-R16,,2,Conn_01x12,"J2,J3"
8,560,R17-R24,,,,
8,SW_Push,SW9-SW16,,,,
8,SW_SPDT,SW1-SW8,,,,
