Qty,Value,RefDes
5,0.1uF,"C1,C2,C4,C5,C6"
1,10uF,C3
1,CP1,C7
1,Polyfuse_Small,F1
1,Conn_01x03,H1
1,Conn_02x04_Odd_Even,H2
1,Conn_01x02,J15
1,DCJ0202,J1
2,FTDI,"J2,J6"
2,PS2_DIN6,"J3,J4"
1,RCA-JACK,J5
4,MTG_HOLE,"MTG1,MTG2,MTG3,MTG?1"
1,Conn_01x08,P4
1,Conn_02x08_Odd_Even,P2
1,VGA,P3
1,150,R12
1,1K,R1
1,270,R11
8,470,"R3,R5,R7,R8,R9,R10,R13,R14"
3,680,"R2,R4,R6"
1,COUPON,TEST1
1,AP1117,U2
1,ESP32,U1
1,TXS0104,U3
