Find,Qty,Ref Des,Part Number
1,2,"C1, C2",[https://www.mouser.com/ProductDetail/TDK/FG18X7R1H473KNT06?qs=qf2ddTMq67Ua7q%2FdN4IhqA%3D%3D 0.1uF]
2,2,"C3, C4",[https://www.mouser.com/ProductDetail/140-REA470M1CBK0511P 10uF]
3,6,J2-J7,[https://www.taydaelectronics.com/pj-301bm-3-5-mm-mono-phone-jack.html PJ-301BM]
4,1,J8,[https://store.synthrotek.com/10-Pin_Keyed_Shrouded_Eurorack_Power_Header Conn_02x05]
5,7,"R1-R5,R7",100K
6,1,R8,22K
7,1,R9 *,4.7K
8,1,R10 *,1K
9,7,RV1-RV7,10K
10,1,U1,TL072
