Qty,Value,Ref Des,,Qty,Value,Ref Des
3,0.1uF,C1 C3 C5,,1,CONN_2,H1
2,0.1uF,C2 C4,,1,CONN_3X2,H2
1,10uF,C6,,1,DCJ0202,J1
1,10K,R1,,,,
1,ATTINY85,U1,,,,
1,AP1117,U2,,,,
