"Find","Qty","Ref Des","Part Number"
"1","1","J1","HDR, FEM, 1x6"
"2","1","J2","HDR, FEM, 1x8"
"3","6","J3, J4, J5, J6, J7, J8","JACK, 3.3MM, PJ301BM"
"4","2","RV1, RV2","B100K"
