ref	value	Field1	Field2	Field3	Field4	Field5	Field6	Field7	Field8
J1	CONN_3
MTG1	CONN_1
MTG2	CONN_1
MTG3	CONN_1
MTG4	CONN_1
R1	3.3K	Xircon	TBD	Mouser
R2	1K
R3	580
R4	330
R5	1.8K
SW1	SW5Way	ALPS	SKQUCAA010	Mouser	688-SKQUCA
