"Find","Qty","Ref Des","Part Number"
"1","2","ADR1, TESTED1","COUPON"
"2","3","D1, D2, D3","LED"
"3","2","J1, J2","Conn_02x03_Odd_Even"
"4","4","MTG1, MTG2, MTG3, MTG4","CONN_1"
"5","4","MTG5, MTG6, MTG7, MTG8","CONN_1"
"6","2","P1, P3","CONN_4"
"7","1","P2","CONN_5"
"8","2","R1, R2","2.2K"
"9","3","R3, R4, R5","560"
"10","6","R6, R7, R8, R9, R12, R19","10K"
"11","3","R13, R15, R17","DNP"
"12","5","SW1, SW2, SW3, SW4, SW5","SW_PUSH_OMRON"
"13","1","U1","MCP23008SO"
