Qty,Value,RefDes,,Qty,Value,RefDes
2,422,"R1,R12",,1,"Conn, Rt ang, 2x10",J1
2,845,"R2,R13",,1,VGA,P1
1,470,R6,,,,
1,1K,R7,,,,
1,2.2K,R8,,,,
