Qty,Value,RefDes
1,NPN,Q1
2,10K,"R3,R6"
1,220K,R1
1,4.7K,R2
2,82,"R4,R5"
1,LM358,U1
1,"""IR RX""",D1
1,IR TX LED,D2
2,CONN_3,"J1,J2"
