Qty,Value,RefDes,Footprint
32,LED-fixed,D0-D31,LEDs:LED_D3.0mm
1,CONN_01X40,HDR1,Pin_Headers:Pin_Header_Angled_2x20_Pitch2.54mm
32,330,R1-R32,Resistors_SMD:R_0805_HandSoldering
