QTY,REFERENCE,DESCRIPTION,MANU,PART NUMBER,REV PROD_C3
36,"R14,R33,R34,R52,R53,R54,R96,R98,R100,R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R115,R116,R117,R118,R135,R145,R148,R150,R151,R152,R153,R154,R155,R156,R157,R158",Resistor 10Kohm 1/16W 5% 0402,YAGEO,RC0402FR-0710KL,
1,R17,Resistor 1Mohm 1/16W 1% 0402,Yageo,RC0402FR-071ML,
5,"R22,R120,R121,R122,R123",RES 49.9 OHM 1/16W 1% 0402 SMD,Yageo,RC0402FR-0749R9L,
1,R11,RES TF 1/16W 280K OHM 1% 0402,YAGEO,RC0402FR-07280KL,
1,R99,RES 240 OHM 1/16W 1% 0402 SMD,Yageo,RC0402FR-07240RL,
1,R10,RES 470K OHM 1/16W 1% 0402 SMD,Yageo,RC0402FR-07470KL,
1,R166,RES 27K OHM 1/16W 1% 0402 SMD,Yageo,RC0402FR-0727KL,
25,"R2,R13,R15,R16,R18,R21,R28,R31,R32,R35,R36,R38,R39,R40,R41,R42,R43,R44,R167,R168,R169,R170,R171,R172,R173",RES 33 OHM 1/16W 5% 0402 SMD,Yageo,RC0402JR-0733RL,
1,U1,IC OPEN DRAIN AND GATE,TI,SN74AHC1G09DCKR,
1,U2,Integrated Power Management Unit,TI,TPS65217CRSLR,
1,U5,"AM3358B, SubArctic Cortex A8 Processor 15x15,1GHz, 2.1",TI,AM3358BZCZA100, 
2,"U9,U10",IC 4CH ESD SOLUTION W/CLAMP 6SON,TI,TPD4S012DRYR,
1,U4,IC LDO VOLT REG 500MA 8-SOIC,TI,TL5209DR,
1,U8,IC 1.5A PWR DIST SWITCH 8-SOIC,TI,TPS2051BDGNR,
1,U6,IC SGL POS EDG TRIG D F-F SM8,TI,SN74LVC1G74DCTR,
1,U15,IC BUFF/DVR TRI-ST DL 8VSSOP,TI,SN74LVC2G241DCUR,
1,U3,IC INVERTER SINGLE 1INPUT SC705,TI,SN74LVC1G06DCKR,
1,U12,"DDR3 Memory 4Gb,256Mx16",Kingston,D2516ECMDXGJDI-U,
1,U13,"IC MEMORY, 4GB eMMC",Kingston,EMMC04G-W627,
1,U7,IC EEPROM 32KBIT 400KHZ SOT23-5,MicroChip,24LC32AT-I/OT,
1,U14,ETHERNET PHY,Microchip,LAN8710Ai-EZK,
1,U11,IC HDMI INTERFACE HVQFN64,NXP,"TDA19988BHN/C1,557",
1,U16,IC BUFF/DVR NON-INVERT SC705,TI,SN74LVC1G07DCKR,
1,Y1,CRYSTAL 32.768KHZ 12.5PF SMD,Abracon,ABS25-32.768KHZ-T,
1,Y3,CRYSTAL 25.000 MHZ 18PF SMD,INTERQUIP,5XBB25000202TF40Q3,
1,Y2,CRYSTAL 24.000 MHZ 18PF SMD,INTERQUIP,5XBB24000202TF50Q3,
1,Y4,"Oscillator, 24.576MHZ, 3.3V",INTERQUIP,1651-24575-BTBQYA,
,DO NOT INSTALL COMPONENTS BELOW.,,,,
,"P2,C24,FB8,R55,R57,R58,R59,R60,R61,R62,R63,R64,R69,R70,R81,R90,R91,R92,R93,R124,R140,R141,R9",,,,
,"THESE REFERENCE DESIGNATORS ARE NOT USED: P7,FB6",,,,
