Qty,Value,RefDes
5,104,"C2,C3,C4,C5,C6"
1,106,C1
2,COUPON,"COUP?1,COUP?2"
2,FUSE,"F1,F2"
8,CONN_3,"J3,J4,J5,J6,J7,J8,J9,J13"
2,CONN_4,"J1,J2"
2,CONN_6,"J10,J11"
1,JACK-3.5MM,J12
1,RASPIO,P1
1,AP1117,U3
2,TXS0108,"U1,U2"
