Qty,Value,RefDes,,Qty,Value,RefDes
3,10K,"R5,R10,R16",,3,4.7K,"R4,R9,R15"
3,1K,"R2,R7,R13",,3,510,"R1,R6,R12"
3,2.2K,"R3,R8,R14",,1,"Header, 2x10",J1
1,22K,R11,,1,"VGA, DB-15HD",P1
