Qty,Value,RefDes,Footprint
4,0.1uF,C3-C6,SM0805
1,FUSE,F2,SM1206
7,CONN_3x2,"J3,J5,J7,J12,J14/J15,J16,J19",PIN_ARRAY_3X2
2,CONN_3x1,"J9,J18",PIN_ARRAY_3X1
1,CONN_4x2,J1/J2,PIN_ARRAY_4x2
1,CONN_6x2,J10/J11,PIN_ARRAY-6X2
1,RASPIOPLUS,J24,PIN_ARRAY_20X2
2,TXB0108,"U1,U2",SOG20
,,,
Qty,Value,RefDes,Footprint
1,0.1uF,C2,SM0805
1,10uF,C1,SM1206
1,FUSE,F1,SM1206
1,CONN_3,J21,PIN_ARRAY_3X1
1,JACK-3.5MM,J22,JACK_2.1MM
1,AP1117,U3,SOT223
