0.1uF,2,"C2 C5",
47uF,1,"C4",
4700uF,1,"C1",
1N4004,4,"D1 D2 D3 D4",
CONN_1,4,"MTG1 MTG2 MTG3 MTG4",
CONN_2,2,"P1 P2",
560,1,"R1",
4.7K,1,"R2",
LM317,1,"U1",
