Find,Qty,Ref Des,Part Number,,Find,Qty,Ref Des,Part Number
1,1,R1,330,,10,6,"D3, D4, D5, D6, D7, D8",BAT41
2,2,"R7, R9",220K,,11,2,"RV1, RV2",10K
3,2,"R8, R10",330K,,12,1,SW1,SW_Push
4,2,"R11, R12",1K,,13,2,"SW2, SW4",SW_SPDT_MSM
5,1,R13,22K,,14,4,"J1, J2, J3, J4",[https://store.synthrotek.com/3_point_5mm_Vertical_Mount_Jacks PJ-301BM]
6,1,R14,33K,,15,1,J5,"HEADER, STRT, 2X8"
7,1,C1,[https://www.mouser.com/ProductDetail/140-REA470M1CBK0511P 47uF],,16,1,J6,"HEADER, STRT, 1X3"
8,3,"C4, C5, C7",0.01uF,,,,,
9,2,"C6, C8",0.1uF,,,,,
