Qty,Value,RefDes,,Qty,Value,RefDes
3,0.1uF,C1-C3,,1,"Header, 3X2",H2
3,10K,R1-R3,,1,"Header, 1x4",J1
1,ATTINY85,U1,,1,"PS2, DIN6 Purple",J2
