Qty,Value,RefDes,,Qty,Value,RefDes
2,0.1uF (0805),"C1,C3",,1,"Header, Pin, Straight, 1x2",H1
1,10uF (1206),C2,,1,"Header, Pin, Right Angle, 1x2",H2
1,SD_Card-conn,CON1,,1,"Header, Pin, Straight, 1x4",J2
1,DB-15HD Female,P9,,1,DC Jack(0202 style),J1
4,10K (0805),"R7,R8,R9,R10",,2,"Socket, Female, 2X22","P1,P2"
3,470 (0805),"R2,R4,R6",,2,Mini-DIN-6,"P10,P11"
3,680 (0805),"R1,R3,R5",,1,"Header, Pin, Straight, 2x12",P4
1,AP1117 (SOT223-3),U1,,1,"Header, Pin, Straight, 2x13",P3
1,FTDI_Module,U3,,,,
1,"SRAM, IS61WV5128EDBLL-10TLI",U2,,,,
