Qty,Value,RefDes
2,CONN_01X08,"P1,P2"
4,2N3904,"Q1,Q2,Q3,Q4"
4,10K,"R1,R10,R4,R7"
4,330,"R11,R2,R5,R8"
4,4.7K,"R12,R3,R6,R9"
5,4N26,"U1,U2,U3,U4"
