Qty,Value,RefDes
1,0.1uF,C2
1,0.1uF,C3
1,10uF,C1
2,CONN_01X02,"H1,H2"
1,CONN_4,J2
1,FTDI-Slave,J3
1,USB-B,J1
4,CONN_1,"MTG1,MTG2,MTG3,MTG4"
2,Q_NPN_BEC,"Q1,Q2"
2,1.2K,"R5,R7"
2,10K,"R15,R16"
2,150,"R3,R4"
4,20K,"R6,R8,R9,R11"
2,270,"R1,R2"
2,820_1.2K,"R10,R12"
2,82_150,"R13,R14"
4,4N25,"U2,U3,U4,U5"
1,74HC14,U6
1,FT230XS,U1
