Freq.	V(n028)/i(V8)
3.15321161187422e+06	(4.91569009953723e+01dB,9.55034245414053e+01°)
3.17136977497548e+06	(4.91072732428785e+01dB,9.54889390932183e+01°)
3.18963250412805e+06	(4.90576433692041e+01dB,9.54746333382010e+01°)
3.20800040148860e+06	(4.90080114064767e+01dB,9.54605068240522e+01°)
3.22647407268141e+06	(4.89583773865529e+01dB,9.54465591040452e+01°)
3.24505412681831e+06	(4.89087413410139e+01dB,9.54327897369423e+01°)
3.26374117651877e+06	(4.88591033011862e+01dB,9.54191982870456e+01°)
3.28253583793012e+06	(4.88094632981443e+01dB,9.54057843241560e+01°)
3.30143873074784e+06	(4.87598213626883e+01dB,9.53925474235762e+01°)
3.32045047823601e+06	(4.87101775253945e+01dB,9.53794871661180e+01°)
3.33957170724785e+06	(4.86605318165742e+01dB,9.53666031380546e+01°)
3.35880304824640e+06	(4.86108842662962e+01dB,9.53538949311262e+01°)
3.37814513532529e+06	(4.85612349044086e+01dB,9.53413621425659e+01°)
3.39759860622967e+06	(4.85115837605037e+01dB,9.53290043750450e+01°)
3.41716410237721e+06	(4.84619308639503e+01dB,9.53168212366823e+01°)
3.43684226887928e+06	(4.84122762438991e+01dB,9.53048123410487e+01°)
3.45663375456219e+06	(4.83626199292628e+01dB,9.52929773071268e+01°)
3.47653921198861e+06	(4.83129619487407e+01dB,9.52813157593449e+01°)
3.49655929747905e+06	(4.82633023308252e+01dB,9.52698273275319e+01°)
3.51669467113357e+06	(4.82136411037819e+01dB,9.52585116469371e+01°)
3.53694599685344e+06	(4.81639782956742e+01dB,9.52473683581869e+01°)
3.55731394236314e+06	(4.81143139343577e+01dB,9.52363971073220e+01°)
3.57779917923228e+06	(4.80646480474932e+01dB,9.52255975457570e+01°)
3.59840238289784e+06	(4.80149806625385e+01dB,9.52149693302823e+01°)
3.61912423268633e+06	(4.79653118067521e+01dB,9.52045121230604e+01°)
3.63996541183630e+06	(4.79156415072125e+01dB,9.51942255916141e+01°)
3.66092660752077e+06	(4.78659697908068e+01dB,9.51841094088200e+01°)
3.68200851086996e+06	(4.78162966842274e+01dB,9.51741632528979e+01°)
3.70321181699405e+06	(4.77666222140061e+01dB,9.51643868074118e+01°)
3.72453722500607e+06	(4.77169464064818e+01dB,9.51547797612509e+01°)
3.74598543804501e+06	(4.76672692878215e+01dB,9.51453418086430e+01°)
3.76755716329897e+06	(4.76175908840380e+01dB,9.51360726491301e+01°)
3.78925311202847e+06	(4.75679112209488e+01dB,9.51269719875593e+01°)
3.81107399958991e+06	(4.75182303242337e+01dB,9.51180395340815e+01°)
3.83302054545918e+06	(4.74685482193965e+01dB,9.51092750041574e+01°)
3.85509347325534e+06	(4.74188649317968e+01dB,9.51006781185304e+01°)
3.87729351076451e+06	(4.73691804866264e+01dB,9.50922486032425e+01°)
3.89962138996385e+06	(4.73194949089358e+01dB,9.50839861896005e+01°)
3.92207784704572e+06	(4.72698082236246e+01dB,9.50758906141948e+01°)
3.94466362244192e+06	(4.72201204554493e+01dB,9.50679616188599e+01°)
3.96737946084811e+06	(4.71704316290256e+01dB,9.50601989507357e+01°)
3.99022611124841e+06	(4.71207417688405e+01dB,9.50526023621907e+01°)
4.01320432694002e+06	(4.70710508992241e+01dB,9.50451716108319e+01°)
4.03631486555811e+06	(4.70213590443993e+01dB,9.50379064595383e+01°)
4.05955848910079e+06	(4.69716662284448e+01dB,9.50308066764110e+01°)
4.08293596395424e+06	(4.69219724753219e+01dB,9.50238720347773e+01°)
4.10644806091794e+06	(4.68722778088704e+01dB,9.50171023132206e+01°)
4.13009555523014e+06	(4.68225822528061e+01dB,9.50104972955222e+01°)
4.15387922659340e+06	(4.67728858307307e+01dB,9.50040567706862e+01°)
4.17779985920028e+06	(4.67231885661393e+01dB,9.49977805329438e+01°)
4.20185824175922e+06	(4.66734904824039e+01dB,9.49916683817124e+01°)
4.22605516752053e+06	(4.66237916028107e+01dB,9.49857201216318e+01°)
4.25039143430255e+06	(4.65740919505190e+01dB,9.49799355625285e+01°)
4.27486784451796e+06	(4.65243915485993e+01dB,9.49743145194246e+01°)
4.29948520520024e+06	(4.64746904200246e+01dB,9.49688568125403e+01°)
4.32424432803027e+06	(4.64249885876795e+01dB,9.49635622672804e+01°)
4.34914602936308e+06	(4.63752860743389e+01dB,9.49584307142158e+01°)
4.37419113025481e+06	(4.63255829027006e+01dB,9.49534619891154e+01°)
4.39938045648972e+06	(4.62758790953838e+01dB,9.49486559329121e+01°)
4.42471483860749e+06	(4.62261746749055e+01dB,9.49440123916995e+01°)
4.45019511193054e+06	(4.61764696637196e+01dB,9.49395312167492e+01°)
4.47582211659161e+06	(4.61267640842013e+01dB,9.49352122645012e+01°)
4.50159669756144e+06	(4.60770579586396e+01dB,9.49310553965302e+01°)
4.52751970467666e+06	(4.60273513092625e+01dB,9.49270604795872e+01°)
4.55359199266776e+06	(4.59776441582300e+01dB,9.49232273855784e+01°)
4.57981442118732e+06	(4.59279365276257e+01dB,9.49195559915268e+01°)
4.60618785483834e+06	(4.58782284394896e+01dB,9.49160461796448e+01°)
4.63271316320274e+06	(4.58285199157886e+01dB,9.49126978372549e+01°)
4.65939122087003e+06	(4.57788109784275e+01dB,9.49095108568353e+01°)
4.68622290746617e+06	(4.57291016492722e+01dB,9.49064851360000e+01°)
4.71320910768253e+06	(4.56793919501246e+01dB,9.49036205774873e+01°)
4.74035071130512e+06	(4.56296819027494e+01dB,9.49009170891850e+01°)
4.76764861324385e+06	(4.55799715288563e+01dB,9.48983745840946e+01°)
4.79510371356212e+06	(4.55302608501166e+01dB,9.48959929803583e+01°)
4.82271691750645e+06	(4.54805498881617e+01dB,9.48937722012340e+01°)
4.85048913553631e+06	(4.54308386645817e+01dB,9.48917121751120e+01°)
4.87842128335419e+06	(4.53811272009387e+01dB,9.48898128354987e+01°)
4.90651428193576e+06	(4.53314155187613e+01dB,9.48880741210178e+01°)
4.93476905756024e+06	(4.52817036395479e+01dB,9.48864959754213e+01°)
4.96318654184095e+06	(4.52319915847690e+01dB,9.48850783475649e+01°)
4.99176767175603e+06	(4.51822793758761e+01dB,9.48838211914382e+01°)
5.02051338967930e+06	(4.51325670343003e+01dB,9.48827244661244e+01°)
5.04942464341137e+06	(4.50828545814490e+01dB,9.48817881358304e+01°)
5.07850238621090e+06	(4.50331420387257e+01dB,9.48810121698747e+01°)
5.10774757682597e+06	(4.49834294275099e+01dB,9.48803965426843e+01°)
5.13716117952577e+06	(4.49337167691839e+01dB,9.48799412337997e+01°)
5.16674416413231e+06	(4.48840040851100e+01dB,9.48796462278658e+01°)
5.19649750605249e+06	(4.48342913966594e+01dB,9.48795115146440e+01°)
5.22642218631018e+06	(4.47845787251966e+01dB,9.48795370889950e+01°)
5.25651919157860e+06	(4.47348660920852e+01dB,9.48797229508888e+01°)
5.28678951421287e+06	(4.46851535186971e+01dB,9.48800691054091e+01°)
5.31723415228269e+06	(4.46354410264173e+01dB,9.48805755627440e+01°)
5.34785410960529e+06	(4.45857286366287e+01dB,9.48812423381847e+01°)
5.37865039577849e+06	(4.45360163707336e+01dB,9.48820694521351e+01°)
5.40962402621400e+06	(4.44863042501558e+01dB,9.48830569301102e+01°)
5.44077602217093e+06	(4.44365922963224e+01dB,9.48842048027243e+01°)
5.47210741078943e+06	(4.43868805306974e+01dB,9.48855131057077e+01°)
5.50361922512454e+06	(4.43371689747614e+01dB,9.48869818798886e+01°)
5.53531250418030e+06	(4.42874576500236e+01dB,9.48886111712225e+01°)
5.56718829294399e+06	(4.42377465780225e+01dB,9.48904010307654e+01°)
5.59924764242057e+06	(4.41880357803254e+01dB,9.48923515146825e+01°)
5.63149160966733e+06	(4.41383252785449e+01dB,9.48944626842526e+01°)
5.66392125782878e+06	(4.40886150943163e+01dB,9.48967346058753e+01°)
5.69653765617167e+06	(4.40389052493356e+01dB,9.48991673510563e+01°)
5.72934188012026e+06	(4.39891957653193e+01dB,9.49017609964186e+01°)
5.76233501129176e+06	(4.39394866640516e+01dB,9.49045156237136e+01°)
5.79551813753203e+06	(4.38897779673578e+01dB,9.49074313197946e+01°)
5.82889235295141e+06	(4.38400696971084e+01dB,9.49105081766599e+01°)
5.86245875796082e+06	(4.37903618752360e+01dB,9.49137462913961e+01°)
5.89621845930803e+06	(4.37406545237360e+01dB,9.49171457662500e+01°)
5.93017257011415e+06	(4.36909476646527e+01dB,9.49207067085762e+01°)
5.96432220991036e+06	(4.36412413201012e+01dB,9.49244292308587e+01°)
5.99866850467476e+06	(4.35915355122629e+01dB,9.49283134507214e+01°)
6.03321258686958e+06	(4.35418302633868e+01dB,9.49323594909121e+01°)
6.06795559547845e+06	(4.34921255957897e+01dB,9.49365674793199e+01°)
6.10289867604397e+06	(4.34424215318786e+01dB,9.49409375489759e+01°)
6.13804298070552e+06	(4.33927180941210e+01dB,9.49454698380407e+01°)
6.17338966823719e+06	(4.33430153050689e+01dB,9.49501644898346e+01°)
6.20893990408603e+06	(4.32933131873689e+01dB,9.49550216528144e+01°)
6.24469486041047e+06	(4.32436117637422e+01dB,9.49600414805956e+01°)
6.28065571611895e+06	(4.31939110570045e+01dB,9.49652241319369e+01°)
6.31682365690879e+06	(4.31442110900656e+01dB,9.49705697707598e+01°)
6.35319987530532e+06	(4.30945118859276e+01dB,9.49760785661474e+01°)
6.38978557070116e+06	(4.30448134676907e+01dB,9.49817506923414e+01°)
6.42658194939579e+06	(4.29951158585590e+01dB,9.49875863287531e+01°)
6.46359022463532e+06	(4.29454190818424e+01dB,9.49935856599660e+01°)
6.50081161665247e+06	(4.28957231609569e+01dB,9.49997488757395e+01°)
6.53824735270684e+06	(4.28460281194251e+01dB,9.50060761710072e+01°)
6.57589866712535e+06	(4.27963339808857e+01dB,9.50125677458858e+01°)
6.61376680134296e+06	(4.27466407690947e+01dB,9.50192238056786e+01°)
6.65185300394358e+06	(4.26969485079324e+01dB,9.50260445608817e+01°)
6.69015853070122e+06	(4.26472572213926e+01dB,9.50330302271911e+01°)
6.72868464462147e+06	(4.25975669335977e+01dB,9.50401810254939e+01°)
6.76743261598306e+06	(4.25478776688069e+01dB,9.50474971818814e+01°)
6.80640372237980e+06	(4.24981894513973e+01dB,9.50549789276607e+01°)
6.84559924876266e+06	(4.24485023058946e+01dB,9.50626264993470e+01°)
6.88502048748218e+06	(4.23988162569526e+01dB,9.50704401386769e+01°)
6.92466873833105e+06	(4.23491313293730e+01dB,9.50784200926053e+01°)
6.96454530858700e+06	(4.22994475481015e+01dB,9.50865666133246e+01°)
7.00465151305586e+06	(4.22497649382314e+01dB,9.50948799582506e+01°)
7.04498867411493e+06	(4.22000835250021e+01dB,9.51033603900453e+01°)
7.08555812175661e+06	(4.21504033338083e+01dB,9.51120081766063e+01°)
7.12636119363221e+06	(4.21007243902149e+01dB,9.51208235910885e+01°)
7.16739923509607e+06	(4.20510467199347e+01dB,9.51298069119055e+01°)
7.20867359924993e+06	(4.20013703488417e+01dB,9.51389584227108e+01°)
7.25018564698753e+06	(4.19516953029896e+01dB,9.51482784124506e+01°)
7.29193674703949e+06	(4.19020216085987e+01dB,9.51577671753260e+01°)
7.33392827601844e+06	(4.18523492920531e+01dB,9.51674250108209e+01°)
7.37616161846439e+06	(4.18026783799297e+01dB,9.51772522237051e+01°)
7.41863816689042e+06	(4.17530088989784e+01dB,9.51872491240301e+01°)
7.46135932182855e+06	(4.17033408761313e+01dB,9.51974160271529e+01°)
7.50432649187595e+06	(4.16536743385183e+01dB,9.52077532537331e+01°)
7.54754109374136e+06	(4.16040093134496e+01dB,9.52182611297287e+01°)
7.59100455229183e+06	(4.15543458284348e+01dB,9.52289399864250e+01°)
7.63471830059969e+06	(4.15046839111792e+01dB,9.52397901604176e+01°)
7.67868377998977e+06	(4.14550235895979e+01dB,9.52508119936412e+01°)
7.72290244008697e+06	(4.14053648918020e+01dB,9.52620058333585e+01°)
7.76737573886403e+06	(4.13557078461130e+01dB,9.52733720321704e+01°)
7.81210514268960e+06	(4.13060524810690e+01dB,9.52849109480368e+01°)
7.85709212637662e+06	(4.12563988254269e+01dB,9.52966229442672e+01°)
7.90233817323090e+06	(4.12067469081500e+01dB,9.53085083895319e+01°)
7.94784477510007e+06	(4.11570967584382e+01dB,9.53205676578673e+01°)
7.99361343242273e+06	(4.11074484057151e+01dB,9.53328011287005e+01°)
8.03964565427797e+06	(4.10578018796357e+01dB,9.53452091868248e+01°)
8.08594295843508e+06	(4.10081572100862e+01dB,9.53577922224380e+01°)
8.13250687140362e+06	(4.09585144271977e+01dB,9.53705506311261e+01°)
