         .047uF	  1	             C1	"C2"	Kemet	C316C473M5U5TA	Mouser	80-C316C473M5U
          0.1uF	  1	             C1	"C1"	Vishay	1C10Z5U104M050B	Mouser	75-1C10Z5U104M050B
             10	  1	             R1	"R1"	Vishay	CCF0710R0GKE36	Mouser	71-CCF0710R0GKE36
            10K	  1	  PIN_ARRAY_3X1	"RV1"	 FCI	68001-203HLF	Mouser	649-68001-203HLF
          220uF	  1	           C2V8	"C3"	United Chemi-Con	EKMG250ELL221MHB5D	Mouser	661-EKMGG250ELL221MH
         CONN_2	  1	        TB2-5MM	"J3"	  TE	282836-1	Mouser	571-282836-1
          LM386	  1	     DIP-8__300	"U1"	National Semi	LM386N-3/NOPB	Mouser	926-LM386N-3/NOPB
       MTG-4-40	  2	       MTG-4-40	"MTG1, MTG2"	 N/A	 N/A	 N/A	 N/A
       RCA-JACK	  2	            RCA	"J1, J2"	Neutrik	NYS354	Mouser	568-NYS354
