Find,Qty,Ref Des,Part Number,,Find,Qty,Ref Des,Part Number
7,4,"R1, R4, R7, R10",RPWR,,6,4,"Q1, Q2, Q3, Q4",DNP(2N3904)
8,4,"R2, R5, R8, R11",RDIR,,12,4,"U1, U2, U3, U4",4N26
9,4,"R3, R6, R9, R12",RBAS,,3,4,"H1, H2, H3, H4",GDEM
10,4,"R13, R14, R15, R16",RFST,,5,2,"P1, P2",CONN_01X08
11,4,"R17, R18, R19, R20",RCOL,,,,,
