Qty,Value,RefDes,,Qty,Value,RefDes
3,10K,R36-R38,,32,LED (NOTE 3),DS0-DS31
32,1K (NOTE 1),R1-R32,,1,"HEADER, RT ANG, 1x2",J1
3,2.2K (NOTE 2),R33-R35,,1,"HEADER, RT ANG, 1x5",J2
32,SW_Push,SW0-SW31,,1,"HEADER, RT ANG, 1X4",J3
4,MCP23017-E/SS,U1-U4,,1,"HEADER, RT ANG, 2X2",J4
