Desc	Qty	Footprint	RefDes	Mfg	MfgPN	Vendor	VendorPN
           4.7K	1	             R4	R1	Xicon	291-4.7K-RC	Mouser	291-4.7K-RC
         CONN_1	2	       MTG-4-40	MTG1, MTG2	 N/A	 N/A	 N/A	 N/A
         CONN_2	1	  PIN_ARRAY_2X1	J1	 FCI	68002-102HLF	Mouser	649-68002-103HLF
         CONN_3	2	  PIN_ARRAY_3X1	J2, J3	 FCI	68002-103HLF	Mouser	649-68002-103HLF
       DS18S20+	1	       TO92-123	U1	Maxim	DS18S20 +	Mouser	700-DS18S20 
