Qty,Value,RefDes,,Qty,Value,RefDes
1,.001uF,C8,,1,DCJ0202,J3
1,.047uF,C6,,2,RCA-JACK,"J1,J2"
1,0.1uF,C7,,1,10,R1-R2
1,100uF,C3,,1,CONN_01X05,RV1
2,10uF,"C1,C4",,1,LM386,U1
2,470uF,"C2,C5",,,,
