Qty,Value,RefDes,,Qty,Value,RefDes
1,0.1uF,C3,,2,2N3904,"Q1,Q2"
1,10uF,C1,,1,FT230XS,U1
1,1uF,C2,,1,74AC14,U6
2,1.2K,"R5,R7",,4,4N25M,U2-U5
2,10K,"R15,R16",,1,"HDR, Rt Ang, 1x4",J2
2,150,"R3,R4",,1,"HDR, Rt Ang, 1x6",J3
2,270,"R1,R2",,1,USB_B_Micro,J1
2,15K_20K,"R9,R11",,2,"HDR, Strt, 1x2","H1,H2"
2,18K_20K,"R6,R8",,,,
2,820_1.2K,"R10,R12",,,,
2,82_150,"R13,R14",,,,
