"Find","Qty","Ref Des","Part Number"
"1","6","J1, J2, J3, J4, J5, J6","AudioJack3"
"2","1","J7","Conn_2x8"
"3","1","J8","HEADER, 2X10"
"4","6","R1, R2, R3, R4, R5, R6","[https://www.mouser.com/ProductDetail/Xicon/299-2.2K-RC?qs=QaPBMFBEHz3RDbXknTj%252ByA%3D%3D 0]"
"5","6","RV1, RV2, RV3, RV4, RV5, RV6","10K"
